"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat quinquennal","Nombre"
2008,2,"Eixample",5,"el Fort Pienc","Dona","30-34 anys",194
2008,2,"Eixample",6,"la Sagrada Família","Dona","30-34 anys",351
2008,2,"Eixample",7,"la Dreta de l'Eixample","Dona","30-34 anys",316
2008,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","30-34 anys",318
2008,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","30-34 anys",381
2008,2,"Eixample",10,"Sant Antoni","Dona","30-34 anys",237
2008,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","30-34 anys",282
2008,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","30-34 anys",5
2008,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","30-34 anys",106
2008,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","30-34 anys",50
2008,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","30-34 anys",105
2008,3,"Sants-Montjuïc",16,"la Bordeta","Dona","30-34 anys",89
2008,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","30-34 anys",156
2008,3,"Sants-Montjuïc",18,"Sants","Dona","30-34 anys",277
2008,4,"Les Corts",19,"les Corts","Dona","30-34 anys",260
2008,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","30-34 anys",97
2008,4,"Les Corts",21,"Pedralbes","Dona","30-34 anys",24
2008,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","30-34 anys",12
2008,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","30-34 anys",104
2008,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","30-34 anys",51
2008,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","30-34 anys",107
2008,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","30-34 anys",254
2008,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","30-34 anys",240
2008,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","30-34 anys",94
2008,6,"Gràcia",29,"el Coll","Dona","30-34 anys",46
2008,6,"Gràcia",30,"la Salut","Dona","30-34 anys",75
2008,6,"Gràcia",31,"la Vila de Gràcia","Dona","30-34 anys",630
2008,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","30-34 anys",257
2008,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","30-34 anys",149
2008,7,"Horta-Guinardó",34,"Can Baró","Dona","30-34 anys",47
2008,7,"Horta-Guinardó",35,"el Guinardó","Dona","30-34 anys",235
2008,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","30-34 anys",35
2008,7,"Horta-Guinardó",37,"el Carmel","Dona","30-34 anys",141
2008,7,"Horta-Guinardó",38,"la Teixonera","Dona","30-34 anys",53
2008,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","30-34 anys",26
2008,7,"Horta-Guinardó",40,"Montbau","Dona","30-34 anys",17
2008,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","30-34 anys",21
2008,7,"Horta-Guinardó",42,"la Clota","Dona","30-34 anys",1
2008,7,"Horta-Guinardó",43,"Horta","Dona","30-34 anys",130
