Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2016,6,Gràcia,29,el Coll,Castella i Lleó,3
2016,6,Gràcia,30,la Salut,Castella i Lleó,6
2016,6,Gràcia,31,la Vila de Gràcia,Castella i Lleó,22
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Castella i Lleó,18
2016,7,Horta-Guinardó,33,el Baix Guinardó,Castella i Lleó,18
2016,7,Horta-Guinardó,34,Can Baró,Castella i Lleó,4
2016,7,Horta-Guinardó,35,el Guinardó,Castella i Lleó,22
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Castella i Lleó,2
2016,7,Horta-Guinardó,37,el Carmel,Castella i Lleó,13
2016,7,Horta-Guinardó,38,la Teixonera,Castella i Lleó,5
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Castella i Lleó,1
2016,7,Horta-Guinardó,40,Montbau,Castella i Lleó,2
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Castella i Lleó,12
2016,7,Horta-Guinardó,42,la Clota,Castella i Lleó,0
2016,7,Horta-Guinardó,43,Horta,Castella i Lleó,7
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Castella i Lleó,6
2016,8,Nou Barris,45,Porta,Castella i Lleó,16
2016,8,Nou Barris,46,el Turó de la Peira,Castella i Lleó,2
2016,8,Nou Barris,47,Can Peguera,Castella i Lleó,0
2016,8,Nou Barris,48,la Guineueta,Castella i Lleó,8
2016,8,Nou Barris,49,Canyelles,Castella i Lleó,1
2016,8,Nou Barris,50,les Roquetes,Castella i Lleó,3
2016,8,Nou Barris,51,Verdun,Castella i Lleó,8
2016,8,Nou Barris,52,la Prosperitat,Castella i Lleó,7
2016,8,Nou Barris,53,la Trinitat Nova,Castella i Lleó,1
2016,8,Nou Barris,54,Torre Baró,Castella i Lleó,1
2016,8,Nou Barris,55,Ciutat Meridiana,Castella i Lleó,1
2016,8,Nou Barris,56,Vallbona,Castella i Lleó,3
2016,9,Sant Andreu,57,la Trinitat Vella,Castella i Lleó,2
2016,9,Sant Andreu,58,Baró de Viver,Castella i Lleó,0
2016,9,Sant Andreu,59,el Bon Pastor,Castella i Lleó,3
2016,9,Sant Andreu,60,Sant Andreu,Castella i Lleó,12
2016,9,Sant Andreu,61,la Sagrera,Castella i Lleó,11
2016,9,Sant Andreu,62,el Congrés i els Indians,Castella i Lleó,7
2016,9,Sant Andreu,63,Navas,Castella i Lleó,13
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Castella i Lleó,22
2016,10,Sant Martí,65,el Clot,Castella i Lleó,16
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Castella i Lleó,7
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Castella i Lleó,0
2016,10,Sant Martí,68,el Poblenou,Castella i Lleó,14
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Castella i Lleó,4
2016,10,Sant Martí,70,el Besòs i el Maresme,Castella i Lleó,11
