"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc de procedència","Nombre"
2015,8,"Nou Barris",52,"la Prosperitat","Illes Balears",16
2015,8,"Nou Barris",53,"la Trinitat Nova","Illes Balears",3
2015,8,"Nou Barris",54,"Torre Baró","Illes Balears",3
2015,8,"Nou Barris",55,"Ciutat Meridiana","Illes Balears",2
2015,8,"Nou Barris",56,"Vallbona","Illes Balears",2
2015,9,"Sant Andreu",57,"la Trinitat Vella","Illes Balears",5
2015,9,"Sant Andreu",58,"Baró de Viver","Illes Balears",3
2015,9,"Sant Andreu",59,"el Bon Pastor","Illes Balears",6
2015,9,"Sant Andreu",60,"Sant Andreu","Illes Balears",31
2015,9,"Sant Andreu",61,"la Sagrera","Illes Balears",12
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Illes Balears",9
2015,9,"Sant Andreu",63,"Navas","Illes Balears",12
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Illes Balears",30
2015,10,"Sant Martí",65,"el Clot","Illes Balears",7
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Illes Balears",20
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Illes Balears",17
2015,10,"Sant Martí",68,"el Poblenou","Illes Balears",37
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Illes Balears",6
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Illes Balears",13
2015,10,"Sant Martí",71,"Provençals del Poblenou","Illes Balears",16
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Illes Balears",10
2015,10,"Sant Martí",73,"la Verneda i la Pau","Illes Balears",6
2015,99,"No consta",99,"No consta","Illes Balears",0
2015,1,"Ciutat Vella",1,"el Raval","Canàries",70
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Canàries",17
2015,1,"Ciutat Vella",3,"la Barceloneta","Canàries",22
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Canàries",44
2015,2,"Eixample",5,"el Fort Pienc","Canàries",18
2015,2,"Eixample",6,"la Sagrada Família","Canàries",38
2015,2,"Eixample",7,"la Dreta de l'Eixample","Canàries",24
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Canàries",37
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Canàries",48
2015,2,"Eixample",10,"Sant Antoni","Canàries",39
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Canàries",40
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Canàries",0
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Canàries",20
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Canàries",9
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Canàries",13
2015,3,"Sants-Montjuïc",16,"la Bordeta","Canàries",10
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Canàries",17
2015,3,"Sants-Montjuïc",18,"Sants","Canàries",28
2015,4,"Les Corts",19,"les Corts","Canàries",23
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Canàries",22
2015,4,"Les Corts",21,"Pedralbes","Canàries",5
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Canàries",5
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Canàries",8
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Canàries",7
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Canàries",5
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Canàries",19
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Canàries",20
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Canàries",10
2015,6,"Gràcia",29,"el Coll","Canàries",3
2015,6,"Gràcia",30,"la Salut","Canàries",3
2015,6,"Gràcia",31,"la Vila de Gràcia","Canàries",35
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Canàries",17
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Canàries",18
2015,7,"Horta-Guinardó",34,"Can Baró","Canàries",6
2015,7,"Horta-Guinardó",35,"el Guinardó","Canàries",8
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Canàries",4
2015,7,"Horta-Guinardó",37,"el Carmel","Canàries",5
2015,7,"Horta-Guinardó",38,"la Teixonera","Canàries",5
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Canàries",1
2015,7,"Horta-Guinardó",40,"Montbau","Canàries",3
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Canàries",1
2015,7,"Horta-Guinardó",42,"la Clota","Canàries",2
2015,7,"Horta-Guinardó",43,"Horta","Canàries",2
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Canàries",11
2015,8,"Nou Barris",45,"Porta","Canàries",12
2015,8,"Nou Barris",46,"el Turó de la Peira","Canàries",3
2015,8,"Nou Barris",47,"Can Peguera","Canàries",0
2015,8,"Nou Barris",48,"la Guineueta","Canàries",8
2015,8,"Nou Barris",49,"Canyelles","Canàries",6
2015,8,"Nou Barris",50,"les Roquetes","Canàries",4
2015,8,"Nou Barris",51,"Verdun","Canàries",9
2015,8,"Nou Barris",52,"la Prosperitat","Canàries",9
2015,8,"Nou Barris",53,"la Trinitat Nova","Canàries",7
2015,8,"Nou Barris",54,"Torre Baró","Canàries",1
2015,8,"Nou Barris",55,"Ciutat Meridiana","Canàries",4
2015,8,"Nou Barris",56,"Vallbona","Canàries",0
2015,9,"Sant Andreu",57,"la Trinitat Vella","Canàries",4
2015,9,"Sant Andreu",58,"Baró de Viver","Canàries",0
2015,9,"Sant Andreu",59,"el Bon Pastor","Canàries",1
2015,9,"Sant Andreu",60,"Sant Andreu","Canàries",25
2015,9,"Sant Andreu",61,"la Sagrera","Canàries",19
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Canàries",4
2015,9,"Sant Andreu",63,"Navas","Canàries",12
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Canàries",13
2015,10,"Sant Martí",65,"el Clot","Canàries",8
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Canàries",16
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Canàries",8
2015,10,"Sant Martí",68,"el Poblenou","Canàries",26
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Canàries",11
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Canàries",5
2015,10,"Sant Martí",71,"Provençals del Poblenou","Canàries",9
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Canàries",9
2015,10,"Sant Martí",73,"la Verneda i la Pau","Canàries",6
2015,99,"No consta",99,"No consta","Canàries",0
2015,1,"Ciutat Vella",1,"el Raval","Cantàbria",5
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Cantàbria",13
2015,1,"Ciutat Vella",3,"la Barceloneta","Cantàbria",4
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cantàbria",2
2015,2,"Eixample",5,"el Fort Pienc","Cantàbria",0
2015,2,"Eixample",6,"la Sagrada Família","Cantàbria",6
2015,2,"Eixample",7,"la Dreta de l'Eixample","Cantàbria",4
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cantàbria",4
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cantàbria",3
