Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloc_procedencia,Nombre
2017,7,Horta-Guinardó,43,Horta,Catalunya,447
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Catalunya,389
2017,8,Nou Barris,45,Porta,Catalunya,470
2017,8,Nou Barris,46,el Turó de la Peira,Catalunya,341
2017,8,Nou Barris,47,Can Peguera,Catalunya,28
2017,8,Nou Barris,48,la Guineueta,Catalunya,227
2017,8,Nou Barris,49,Canyelles,Catalunya,83
2017,8,Nou Barris,50,les Roquetes,Catalunya,319
2017,8,Nou Barris,51,Verdun,Catalunya,239
2017,8,Nou Barris,52,la Prosperitat,Catalunya,463
2017,8,Nou Barris,53,la Trinitat Nova,Catalunya,181
2017,8,Nou Barris,54,Torre Baró,Catalunya,43
2017,8,Nou Barris,55,Ciutat Meridiana,Catalunya,308
2017,8,Nou Barris,56,Vallbona,Catalunya,39
2017,9,Sant Andreu,57,la Trinitat Vella,Catalunya,226
2017,9,Sant Andreu,58,Baró de Viver,Catalunya,47
2017,9,Sant Andreu,59,el Bon Pastor,Catalunya,286
2017,9,Sant Andreu,60,Sant Andreu,Catalunya,924
2017,9,Sant Andreu,61,la Sagrera,Catalunya,469
2017,9,Sant Andreu,62,el Congrés i els Indians,Catalunya,191
2017,9,Sant Andreu,63,Navas,Catalunya,321
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Catalunya,629
2017,10,Sant Martí,65,el Clot,Catalunya,411
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Catalunya,198
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Catalunya,114
2017,10,Sant Martí,68,el Poblenou,Catalunya,485
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Catalunya,206
2017,10,Sant Martí,70,el Besòs i el Maresme,Catalunya,765
2017,10,Sant Martí,71,Provençals del Poblenou,Catalunya,348
2017,10,Sant Martí,72,Sant Martí de Provençals,Catalunya,409
2017,10,Sant Martí,73,la Verneda i la Pau,Catalunya,546
2017,99,No consta,99,No consta,Catalunya,2
2017,1,Ciutat Vella,1,el Raval,Comunitat Valenciana,117
2017,1,Ciutat Vella,2,el Barri Gòtic,Comunitat Valenciana,51
2017,1,Ciutat Vella,3,la Barceloneta,Comunitat Valenciana,34
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Comunitat Valenciana,44
2017,2,Eixample,5,el Fort Pienc,Comunitat Valenciana,54
2017,2,Eixample,6,la Sagrada Família,Comunitat Valenciana,68
2017,2,Eixample,7,la Dreta de l'Eixample,Comunitat Valenciana,74
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Comunitat Valenciana,88
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Comunitat Valenciana,102
2017,2,Eixample,10,Sant Antoni,Comunitat Valenciana,71
2017,3,Sants-Montjuïc,11,el Poble Sec,Comunitat Valenciana,86
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Comunitat Valenciana,1
2017,3,Sants-Montjuïc,13,la Marina de Port,Comunitat Valenciana,41
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Comunitat Valenciana,19
2017,3,Sants-Montjuïc,15,Hostafrancs,Comunitat Valenciana,35
2017,3,Sants-Montjuïc,16,la Bordeta,Comunitat Valenciana,20
2017,3,Sants-Montjuïc,17,Sants - Badal,Comunitat Valenciana,55
2017,3,Sants-Montjuïc,18,Sants,Comunitat Valenciana,100
2017,4,Les Corts,19,les Corts,Comunitat Valenciana,61
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Comunitat Valenciana,42
2017,4,Les Corts,21,Pedralbes,Comunitat Valenciana,13
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Comunitat Valenciana,6
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Comunitat Valenciana,16
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Comunitat Valenciana,8
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Comunitat Valenciana,26
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Comunitat Valenciana,48
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Comunitat Valenciana,37
2017,6,Gràcia,28,Vallcarca i els Penitents,Comunitat Valenciana,22
2017,6,Gràcia,29,el Coll,Comunitat Valenciana,5
2017,6,Gràcia,30,la Salut,Comunitat Valenciana,14
2017,6,Gràcia,31,la Vila de Gràcia,Comunitat Valenciana,105
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Comunitat Valenciana,60
2017,7,Horta-Guinardó,33,el Baix Guinardó,Comunitat Valenciana,31
2017,7,Horta-Guinardó,34,Can Baró,Comunitat Valenciana,16
2017,7,Horta-Guinardó,35,el Guinardó,Comunitat Valenciana,48
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Comunitat Valenciana,6
2017,7,Horta-Guinardó,37,el Carmel,Comunitat Valenciana,34
2017,7,Horta-Guinardó,38,la Teixonera,Comunitat Valenciana,11
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Comunitat Valenciana,12
2017,7,Horta-Guinardó,40,Montbau,Comunitat Valenciana,11
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Comunitat Valenciana,5
2017,7,Horta-Guinardó,42,la Clota,Comunitat Valenciana,0
2017,7,Horta-Guinardó,43,Horta,Comunitat Valenciana,24
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Comunitat Valenciana,22
2017,8,Nou Barris,45,Porta,Comunitat Valenciana,16
2017,8,Nou Barris,46,el Turó de la Peira,Comunitat Valenciana,7
2017,8,Nou Barris,47,Can Peguera,Comunitat Valenciana,1
2017,8,Nou Barris,48,la Guineueta,Comunitat Valenciana,15
2017,8,Nou Barris,49,Canyelles,Comunitat Valenciana,2
2017,8,Nou Barris,50,les Roquetes,Comunitat Valenciana,16
2017,8,Nou Barris,51,Verdun,Comunitat Valenciana,12
2017,8,Nou Barris,52,la Prosperitat,Comunitat Valenciana,16
2017,8,Nou Barris,53,la Trinitat Nova,Comunitat Valenciana,8
2017,8,Nou Barris,54,Torre Baró,Comunitat Valenciana,1
2017,8,Nou Barris,55,Ciutat Meridiana,Comunitat Valenciana,17
2017,8,Nou Barris,56,Vallbona,Comunitat Valenciana,1
2017,9,Sant Andreu,57,la Trinitat Vella,Comunitat Valenciana,18
2017,9,Sant Andreu,58,Baró de Viver,Comunitat Valenciana,3
2017,9,Sant Andreu,59,el Bon Pastor,Comunitat Valenciana,8
2017,9,Sant Andreu,60,Sant Andreu,Comunitat Valenciana,52
2017,9,Sant Andreu,61,la Sagrera,Comunitat Valenciana,29
